epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.80344,3.63152,5.0564,2.72949,0.00078,0.15464,0.00052,0.00012,3.6156,4.98208,2.7133,0.0004,0.0004,0.0004
2,9.37074,3.17996,4.31823,2.27483,0.00023,0.04124,0.00016,5e-05,3.48305,4.93701,3.12248,0.000811882,0.000811882,0.000811882
3,12.9723,3.05068,4.00473,2.14898,0.00073,0.14433,0.00052,0.00014,3.36799,4.24821,2.93295,0.00121545,0.00121545,0.00121545
4,16.4765,3.00043,3.89932,2.087,0.00089,0.17526,0.0007,0.00018,3.52867,3.99219,2.97093,0.0016107,0.0016107,0.0016107
5,20.1262,2.98562,3.87993,2.09275,0.00568,0.14433,0.00291,0.00088,3.42702,3.81836,3.41086,0.0019208,0.0019208,0.0019208
6,23.7779,3.00908,3.71837,2.09273,0.01986,0.01031,0.00382,0.00104,3.2685,4.47142,2.44481,0.001901,0.001901,0.001901
7,27.2694,2.96157,3.67293,2.01735,0.00156,0.30928,0.00116,0.00035,3.38339,4.35045,2.6279,0.0018812,0.0018812,0.0018812
8,30.8711,2.89164,3.45528,2.00599,0.00512,0.03093,0.00264,0.0007,3.18639,7.8584,3.01265,0.0018614,0.0018614,0.0018614
9,34.3615,2.88785,3.5364,2.04713,0.0105,0.08247,0.00515,0.00121,2.91877,3.99857,2.24986,0.0018416,0.0018416,0.0018416
10,37.8956,2.89135,3.45993,1.95924,0.03998,0.08247,0.00985,0.00237,2.99516,5.21232,2.29875,0.0018218,0.0018218,0.0018218
11,41.4612,2.77888,3.31459,1.95233,0.0224,0.03093,0.00954,0.00261,3.11763,4.02626,2.49673,0.001802,0.001802,0.001802
12,45.0792,2.843,3.2556,1.97729,0.02111,0.10309,0.01121,0.00322,2.80048,3.60695,2.05589,0.0017822,0.0017822,0.0017822
13,48.5455,2.78923,3.23461,1.9482,0.0512,0.08247,0.01626,0.00436,2.86928,3.67416,2.1633,0.0017624,0.0017624,0.0017624
14,52.2031,2.82624,3.21558,1.97497,0.03663,0.06186,0.01865,0.00494,2.92107,3.26545,2.23191,0.0017426,0.0017426,0.0017426
15,55.7715,2.7109,3.09541,1.941,0.05139,0.04124,0.02915,0.0088,2.90274,3.41886,2.06419,0.0017228,0.0017228,0.0017228
16,59.3322,2.72945,3.13062,1.95593,0.06947,0.10309,0.0247,0.00669,2.8935,3.47247,2.18992,0.001703,0.001703,0.001703
17,62.8277,2.6949,3.04692,1.906,0.0698,0.08247,0.0257,0.00649,2.85032,3.66359,2.17774,0.0016832,0.0016832,0.0016832
18,66.3808,2.66266,3.01273,1.89917,0.03585,0.23711,0.02918,0.01002,2.77664,3.31809,2.11773,0.0016634,0.0016634,0.0016634
19,69.9196,2.73573,3.07984,1.94451,0.09178,0.10309,0.04412,0.0166,2.81822,3.20546,2.02368,0.0016436,0.0016436,0.0016436
20,73.4434,2.65109,2.85531,1.87069,0.06106,0.16495,0.02547,0.00772,2.77487,3.23782,1.98321,0.0016238,0.0016238,0.0016238
21,76.9244,2.64665,2.96794,1.90272,0.05278,0.06186,0.02714,0.01019,2.80773,3.20559,2.11152,0.001604,0.001604,0.001604
22,80.6987,2.613,2.88466,1.85315,0.10951,0.18557,0.04642,0.01274,2.77816,3.29716,2.02113,0.0015842,0.0015842,0.0015842
23,84.2374,2.68492,2.87998,1.85255,0.19759,0.09278,0.06856,0.02267,2.82669,3.34021,2.16497,0.0015644,0.0015644,0.0015644
24,87.8948,2.53879,2.83689,1.82467,0.15647,0.10309,0.0595,0.02111,2.89967,3.07018,2.21406,0.0015446,0.0015446,0.0015446
25,91.3201,2.57544,2.85207,1.85363,0.15335,0.13402,0.05881,0.02115,2.82017,2.99829,2.17169,0.0015248,0.0015248,0.0015248
26,94.763,2.54213,2.74348,1.8184,0.08667,0.13402,0.03238,0.00897,2.82258,3.06839,2.06886,0.001505,0.001505,0.001505
27,98.261,2.57386,2.75538,1.89272,0.10714,0.04124,0.03522,0.00969,2.86372,3.7409,2.11773,0.0014852,0.0014852,0.0014852
28,101.698,2.51246,2.65914,1.82796,0.09478,0.08638,0.06182,0.01487,2.78597,2.90653,2.19279,0.0014654,0.0014654,0.0014654
29,105.138,2.48899,2.63523,1.79537,0.14292,0.1134,0.04857,0.01198,2.85236,2.95634,2.16373,0.0014456,0.0014456,0.0014456
30,108.603,2.51609,2.5847,1.79395,0.10767,0.12371,0.06191,0.01933,2.85234,5.78122,2.16838,0.0014258,0.0014258,0.0014258
31,112.087,2.49495,2.66267,1.7991,0.18038,0.13402,0.05435,0.01135,2.86899,3.51842,2.12456,0.001406,0.001406,0.001406
32,115.566,2.51558,2.68095,1.81566,0.09941,0.10309,0.02898,0.00837,2.90831,3.13133,2.13133,0.0013862,0.0013862,0.0013862
33,119.222,2.47976,2.53964,1.80279,0.07306,0.09278,0.04035,0.01066,2.96351,3.05979,2.1831,0.0013664,0.0013664,0.0013664
