epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5025,3.68715,5.50097,2.75963,0,0,0,0,nan,nan,nan,0.000651515,0.000651515,0.000651515
2,37.3231,3.5621,4.78512,2.51725,0,0,0,0,nan,nan,nan,0.00131383,0.00131383,0.00131383
3,54.6622,3.49532,4.43657,2.50523,0,0,0,0,nan,nan,nan,0.00197175,0.00197175,0.00197175
4,71.6266,3.45896,4.55481,2.43251,0,0,0,0,nan,nan,nan,0.0019802,0.0019802,0.0019802
5,89.0232,3.4746,4.44619,2.40897,0,0,0,0,nan,nan,nan,0.0019736,0.0019736,0.0019736
6,106.056,3.35169,4.51407,2.35837,0,0,0,0,nan,nan,nan,0.001967,0.001967,0.001967
7,123.78,3.34529,4.35736,2.38914,0.00065,0.08247,0.00041,0.00012,nan,nan,nan,0.0019604,0.0019604,0.0019604
8,141.36,3.37927,4.28113,2.41741,0.00078,0.07216,0.00047,9e-05,3.67021,4.83643,2.68876,0.0019538,0.0019538,0.0019538
9,158.579,3.38921,4.34461,2.44159,0.00265,0.16495,0.00669,0.00092,nan,nan,nan,0.0019472,0.0019472,0.0019472
10,176.175,3.36685,4.2659,2.33749,0,0,0,0,3.79485,5.57107,3.50165,0.0019406,0.0019406,0.0019406
11,193.003,3.26651,4.3797,2.34694,0,0,0,0,nan,nan,nan,0.001934,0.001934,0.001934
12,210.652,3.27885,4.27688,2.36034,0.00191,0.06186,0.00141,0.0004,3.52896,4.52799,2.61125,0.0019274,0.0019274,0.0019274
13,227.888,3.16883,4.40924,2.3499,0.00123,0.40206,0.00167,0.00048,3.06516,3.51395,2.184,0.0019208,0.0019208,0.0019208
14,245.424,3.34154,4.26377,2.2538,0.00088,0.35052,0.00092,0.00021,3.3387,nan,2.20049,0.0019142,0.0019142,0.0019142
15,262.512,3.23156,4.51228,2.22869,0.00385,0.02062,0.002,0.0003,4.12288,5.11367,7.22734,0.0019076,0.0019076,0.0019076
16,280.106,3.36061,4.39497,2.42157,0.00121,0.43299,0.00219,0.00045,3.32712,3.90582,2.39243,0.001901,0.001901,0.001901
17,297.177,3.32251,4.37641,2.39452,0.00133,0.39175,0.00113,0.00034,3.35324,nan,2.36128,0.0018944,0.0018944,0.0018944
18,314.89,3.33007,4.33222,2.33805,0.00116,0.40206,0.00119,0.00033,3.28896,3.89462,2.33615,0.0018878,0.0018878,0.0018878
19,331.694,3.22656,4.34783,2.25532,0,0,0,0,nan,nan,nan,0.0018812,0.0018812,0.0018812
20,349.233,3.10937,4.49161,2.21277,0.00187,0.26804,0.00156,0.00046,3.21946,4.25355,2.40772,0.0018746,0.0018746,0.0018746
21,366.328,3.13506,4.462,2.2057,0.00181,0.34021,0.00148,0.00034,3.27688,4.16423,2.36015,0.001868,0.001868,0.001868
22,383.513,3.18492,4.42075,2.29135,0.00063,0.25773,0.00063,0.00014,3.34117,nan,2.32855,0.0018614,0.0018614,0.0018614
23,401.277,3.28471,4.4518,2.28684,5e-05,0.02062,3e-05,1e-05,nan,nan,nan,0.0018548,0.0018548,0.0018548
24,418.48,3.13333,4.35007,2.14474,0.00121,0.58763,0.00161,0.00038,2.96274,3.83433,2.02679,0.0018482,0.0018482,0.0018482
25,436.057,3.11015,4.25005,2.13532,0.0015,0.34021,0.00165,0.00046,3.13972,4.0671,2.20593,0.0018416,0.0018416,0.0018416
26,453.175,3.18187,4.16267,2.18429,0.00155,0.46392,0.00154,0.0004,3.24754,4.14974,2.31796,0.001835,0.001835,0.001835
27,470.628,3.25838,4.31106,2.22039,0.00212,0.35052,0.00218,0.00058,3.04919,3.87707,2.09588,0.0018284,0.0018284,0.0018284
28,487.664,3.20608,4.3372,2.21768,0.00122,0.16495,0.00124,0.00052,3.32092,4.71677,2.33495,0.0018218,0.0018218,0.0018218
29,506.2,3.11931,4.52341,2.17332,0.00233,0.25773,0.00173,0.00045,3.32259,4.33804,2.38464,0.0018152,0.0018152,0.0018152
30,523.218,3.16754,4.38738,2.18233,0.00216,0.25773,0.00726,0.00104,3.09937,4.14952,2.20076,0.0018086,0.0018086,0.0018086
31,541.065,3.2308,4.26656,2.23218,0.00125,0.4433,0.00182,0.00043,2.95635,3.91543,2.5103,0.001802,0.001802,0.001802
32,558.216,3.14279,4.2449,2.13824,0.00157,0.36082,0.00162,0.00042,2.98923,4.16292,2.1478,0.0017954,0.0017954,0.0017954
33,575.436,3.00922,4.38318,2.04647,0.00161,0.48454,0.00152,0.00044,2.98789,3.97473,2.08944,0.0017888,0.0017888,0.0017888
34,592.827,3.05391,4.24244,2.14291,0.00115,0.4433,0.00406,0.00067,3.12621,4.49796,2.19385,0.0017822,0.0017822,0.0017822
35,609.773,3.01489,4.27938,2.14062,0.00163,0.20619,0.00108,0.00033,3.04424,4.25883,2.14848,0.0017756,0.0017756,0.0017756
36,627.273,3.11144,4.18368,2.14998,0.00127,0.52577,0.00189,0.0005,3.05718,4.02567,2.1101,0.001769,0.001769,0.001769
37,644.38,3.0332,4.23019,2.09068,0.00148,0.54639,0.00185,0.00053,2.91618,3.90831,2.0528,0.0017624,0.0017624,0.0017624
38,661.806,3.0795,4.35099,2.08095,0.00143,0.35052,0.00122,0.00027,3.14453,4.25835,2.22736,0.0017558,0.0017558,0.0017558
39,678.906,3.10829,4.30312,2.17623,0.00023,0.04124,0.00016,4e-05,3.37437,4.74952,2.52068,0.0017492,0.0017492,0.0017492
40,696.204,3.06786,4.13132,2.10837,0.00135,0.58763,0.00203,0.00048,3.03957,4.35002,2.12804,0.0017426,0.0017426,0.0017426
41,713.01,3.17975,4.35349,2.14378,0.00127,0.24742,0.00094,0.00026,3.02136,4.37825,2.164,0.001736,0.001736,0.001736
42,730.579,3.0543,4.13922,2.1165,0.00122,0.5567,0.00187,0.00047,2.96157,4.00452,2.03774,0.0017294,0.0017294,0.0017294
43,747.596,3.07029,4.18584,2.18159,0.0017,0.37113,0.00136,0.00042,3.21294,4.26002,2.28171,0.0017228,0.0017228,0.0017228
44,764.838,2.96268,4.04527,2.10988,0.0012,0.37113,0.00217,0.00051,3.16654,4.29617,2.44655,0.0017162,0.0017162,0.0017162
45,781.859,3.10326,4.39097,2.12322,0.00159,0.21649,0.00126,0.00035,3.40181,4.64138,2.4264,0.0017096,0.0017096,0.0017096
46,799.359,3.05602,4.18561,2.13102,0.00238,0.36082,0.00407,0.00126,2.97527,3.92614,2.12125,0.001703,0.001703,0.001703
47,816.59,3.06157,4.13845,2.13057,0.00163,0.48454,0.00207,0.0006,2.94969,4.08939,2.09626,0.0016964,0.0016964,0.0016964
48,833.568,3.15998,4.21411,2.21006,0.0025,0.05155,0.00133,0.00019,3.5244,5.45633,2.53972,0.0016898,0.0016898,0.0016898
49,851.12,3.06255,4.21061,2.09937,0.00151,0.46392,0.00257,0.00097,3.01239,4.15484,2.1143,0.0016832,0.0016832,0.0016832
50,868.223,3.14382,4.17903,2.12479,0.00146,0.51546,0.00216,0.00064,3.03851,4.08505,2.20694,0.0016766,0.0016766,0.0016766
51,885.766,3.14838,4.13368,2.12416,0.00153,0.41237,0.00156,0.00045,2.9782,4.21675,2.10031,0.00167,0.00167,0.00167
52,902.785,3.02249,4.26247,2.09213,0.00224,0.21649,0.00167,0.00058,2.99788,4.52825,2.16567,0.0016634,0.0016634,0.0016634
53,920.395,3.02394,4.15423,2.11799,0.00109,0.45361,0.00122,0.00034,3.26571,4.40285,2.65421,0.0016568,0.0016568,0.0016568
54,937.502,2.98747,4.14569,2.08048,0.00167,0.45361,0.00203,0.00069,2.94289,4.19674,2.09567,0.0016502,0.0016502,0.0016502
55,954.926,3.0279,3.98825,2.06788,0.00147,0.54639,0.003,0.00081,2.87829,3.76993,2.01265,0.0016436,0.0016436,0.0016436
56,972.118,2.93888,4.03831,2.00369,0.00128,0.61856,0.0015,0.00044,2.87791,3.91867,2.05296,0.001637,0.001637,0.001637
57,990.589,3.13039,4.16081,2.14687,0.00187,0.5567,0.003,0.00091,2.93865,3.93159,2.02737,0.0016304,0.0016304,0.0016304
58,1007.65,3.11641,4.20724,2.16584,0.00178,0.29897,0.00153,0.00056,3.06201,4.33165,2.13024,0.0016238,0.0016238,0.0016238
59,1024.67,2.97191,4.01012,2.0537,0.00149,0.57732,0.00434,0.0012,2.95816,4.00772,2.0879,0.0016172,0.0016172,0.0016172
60,1042.22,3.07511,4.10178,2.11981,0.00126,0.43299,0.00138,0.00036,3.29259,4.2743,2.8159,0.0016106,0.0016106,0.0016106
61,1059.43,2.94797,4.07202,2.02947,0.00208,0.36082,0.00276,0.00103,3.08428,4.5109,2.12006,0.001604,0.001604,0.001604
62,1076.8,3.04806,4.01661,2.04282,0.00214,0.06186,0.00126,0.00026,3.21367,5.31449,2.29762,0.0015974,0.0015974,0.0015974
63,1093.75,2.99809,4.1459,2.01344,0.00117,0.10309,0.00077,0.0002,3.27395,5.25511,2.32644,0.0015908,0.0015908,0.0015908
64,1111.32,3.11386,4.149,2.07015,0.0018,0.29897,0.00247,0.00069,3.28016,4.72318,2.40953,0.0015842,0.0015842,0.0015842
65,1128.3,2.97103,4.29586,2.05041,0.00208,0.4433,0.00296,0.00076,3.027,4.08663,2.13117,0.0015776,0.0015776,0.0015776
66,1145.64,2.96713,4.05134,2.07029,0.00082,0.05155,0.00048,0.00016,3.29241,4.92818,2.4074,0.001571,0.001571,0.001571
67,1162.62,2.93027,4.1408,2.09045,0.00143,0.34021,0.00306,0.0009,3.16651,4.47779,2.3666,0.0015644,0.0015644,0.0015644
68,1179.95,3.02629,4.20313,2.09759,0.00155,0.40206,0.0023,0.0007,3.10789,4.19342,2.29806,0.0015578,0.0015578,0.0015578
69,1196.96,2.99275,4.1555,2.01569,0.00164,0.05155,0.0009,0.00039,3.36006,5.43814,2.3868,0.0015512,0.0015512,0.0015512
70,1214.5,3.00868,3.95648,2.05308,0.00142,0.57732,0.00199,0.00056,2.86718,4.00807,2.00099,0.0015446,0.0015446,0.0015446
71,1231.46,2.92535,4.03296,2.05231,0.00172,0.4433,0.00278,0.00074,3.02702,4.29501,2.12695,0.001538,0.001538,0.001538
72,1248.53,2.93224,4.13659,2.07778,0.00168,0.62887,0.00335,0.00087,2.96556,3.88365,2.05592,0.0015314,0.0015314,0.0015314
73,1265.37,3.06927,4.34199,2.0816,0.00163,0.41237,0.00318,0.00084,3.04272,4.1587,2.13888,0.0015248,0.0015248,0.0015248
74,1282.27,2.99566,4.07467,2.07172,0.00139,0.56701,0.00245,0.00065,3.12323,4.103,2.28487,0.0015182,0.0015182,0.0015182
75,1299.64,3.02532,4.02557,2.06961,0.00138,0.57732,0.00219,0.00055,3.08832,4.45539,2.28102,0.0015116,0.0015116,0.0015116
76,1316.42,3.07851,4.1475,2.09774,0.00203,0.3299,0.00263,0.00073,2.93546,4.29327,2.0818,0.001505,0.001505,0.001505
77,1333.78,2.89399,4.08207,2.01742,0.00222,0.10309,0.00145,0.00048,3.25034,4.97536,2.25183,0.0014984,0.0014984,0.0014984
78,1350.74,2.9403,3.92847,1.99669,0.00155,0.31959,0.00187,0.00058,3.12174,4.41799,2.20344,0.0014918,0.0014918,0.0014918
79,1368.2,3.0339,3.99711,2.04785,0.00162,0.50515,0.00298,0.00093,2.84777,3.96637,2.00733,0.0014852,0.0014852,0.0014852
80,1385.38,2.89181,4.00133,1.98841,0.00137,0.52577,0.0067,0.00115,3.11958,4.42069,2.22059,0.0014786,0.0014786,0.0014786
81,1403.09,2.9851,4.00307,2.05814,0.00222,0.09278,0.00132,0.00041,3.39541,5.0042,2.37473,0.001472,0.001472,0.001472
82,1420.29,2.93603,3.88886,2.03647,0.00223,0.29897,0.00287,0.00094,3.05479,4.59136,2.15504,0.0014654,0.0014654,0.0014654
83,1437.81,2.98798,4.11237,2.06182,0.00128,0.53608,0.00236,0.00054,2.98856,4.26997,2.12841,0.0014588,0.0014588,0.0014588
84,1454.84,2.79022,4.11564,1.95461,0.00216,0.31959,0.00268,0.00086,3.17588,4.45428,2.2495,0.0014522,0.0014522,0.0014522
85,1473.12,2.97419,3.94608,2.02716,0.00141,0.62887,0.00257,0.00059,2.88117,4.38196,2.02087,0.0014456,0.0014456,0.0014456
86,1490.39,2.85341,3.99411,2.00605,0.00157,0.59794,0.00548,0.00125,2.85895,3.93108,2.05588,0.001439,0.001439,0.001439
87,1507.69,2.97174,3.96123,2.08613,0.00154,0.61856,0.00555,0.00154,2.89326,3.96089,2.06307,0.0014324,0.0014324,0.0014324
88,1525.63,3.01478,4.06645,2.04898,0.0014,0.56701,0.00531,0.00108,2.93365,4.19718,2.06614,0.0014258,0.0014258,0.0014258
89,1542.83,2.88571,3.9069,2.0428,0.0018,0.5567,0.01163,0.00201,2.84787,4.0227,2.07378,0.0014192,0.0014192,0.0014192
90,1560.68,2.79412,4.14136,1.96229,0.00186,0.49485,0.00396,0.00099,2.93567,4.0923,2.05369,0.0014126,0.0014126,0.0014126
91,1577.67,2.84431,3.89481,2.00589,0.00176,0.5567,0.00363,0.001,2.93789,4.18641,2.07277,0.001406,0.001406,0.001406
92,1595.38,3.01311,3.93022,2.09431,0.00396,0.24742,0.00374,0.00097,2.96516,4.44754,2.16592,0.0013994,0.0013994,0.0013994
93,1612.67,2.92721,3.93839,2.07791,0.00164,0.68041,0.00702,0.00179,2.7384,3.92608,2.03302,0.0013928,0.0013928,0.0013928
94,1630.39,2.84182,3.92034,2.05236,0.00143,0.58763,0.00663,0.00128,2.82076,4.17284,2.03579,0.0013862,0.0013862,0.0013862
95,1647.72,2.92681,3.9168,2.04712,0.00164,0.43299,0.00591,0.00164,2.85487,4.29999,2.1129,0.0013796,0.0013796,0.0013796
96,1665.29,2.87386,4.00336,2.03934,0.00195,0.42268,0.00309,0.00083,3.09149,4.3617,2.21662,0.001373,0.001373,0.001373
97,1682.58,2.94665,4.02931,2.0607,0.00204,0.61856,0.00935,0.0027,2.81385,3.96095,2.02126,0.0013664,0.0013664,0.0013664
98,1700.23,2.86028,3.81512,2.01638,0.00231,0.61856,0.00498,0.00133,2.9312,4.03527,2.05475,0.0013598,0.0013598,0.0013598
99,1717.78,2.85569,3.8472,1.94934,0.0025,0.49485,0.01156,0.00203,3.02509,4.10697,2.13607,0.0013532,0.0013532,0.0013532
