epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2241,3.33669,6.11639,2.61601,0,0,0,0,nan,nan,nan,0.000654088,0.000654088,0.000654088
2,76.8279,3.41251,6.46739,2.52016,0,0,0,0,nan,nan,nan,0.00131422,0.00131422,0.00131422
3,109.831,3.28506,4.17057,2.37965,0.00018,0.03846,0.00011,3e-05,nan,nan,nan,0.00196775,0.00196775,0.00196775
4,150.411,3.2496,4.29916,2.40177,0.0016,0.22527,0.0011,0.00033,3.5895,4.1516,2.52289,0.0019703,0.0019703,0.0019703
5,176.673,3.1423,4.26335,2.27875,0.00052,0.26374,0.0004,0.0001,3.44749,18.671,2.34765,0.0019604,0.0019604,0.0019604
6,209.017,3.17059,4.18818,2.23654,0.00052,0.03846,0.00029,0.0001,3.64617,4.5919,2.48504,0.0019505,0.0019505,0.0019505
7,242.668,3.15578,4.21061,2.22558,0.00131,0.31868,0.00132,0.0004,3.32093,4.65557,2.24162,0.0019406,0.0019406,0.0019406
8,276.152,3.03169,4.18041,2.2157,0.00086,0.31319,0.00067,0.00022,3.43557,5.35644,2.48436,0.0019307,0.0019307,0.0019307
9,308.537,3.09851,4.16611,2.16562,0.00177,0.15934,0.00172,0.00043,3.59172,4.21144,2.61912,0.0019208,0.0019208,0.0019208
10,343.213,3.01086,4.16423,2.17499,0.00079,0.4011,0.00199,0.00049,3.44427,5.96618,2.40215,0.0019109,0.0019109,0.0019109
11,376.575,3.04848,4.16903,2.25549,0.0008,0.4011,0.0008,0.00022,3.26303,3.44737,2.28607,0.001901,0.001901,0.001901
12,408.666,3.02029,4.19322,2.20956,0.0012,0.40659,0.00116,0.00037,3.44711,5.76969,2.53402,0.0018911,0.0018911,0.0018911
13,441.571,2.95389,4.13142,2.20065,0.00124,0.4011,0.00126,0.00036,3.30203,4.20877,2.48414,0.0018812,0.0018812,0.0018812
14,473.866,2.97995,4.18098,2.18586,0.00139,0.44505,0.00124,0.00041,3.2262,4.14124,2.32647,0.0018713,0.0018713,0.0018713
15,507.028,3.03044,4.12637,2.23217,0.00081,0.38462,0.00096,0.00026,3.30135,3.57329,2.35527,0.0018614,0.0018614,0.0018614
16,540.126,2.92843,4.11817,2.1993,0.0009,0.32418,0.00084,0.00032,3.3227,4.41799,2.444,0.0018515,0.0018515,0.0018515
17,573.244,2.90078,4.05406,2.17196,0.00064,0.31868,0.00065,0.0002,3.48192,3.86763,2.34425,0.0018416,0.0018416,0.0018416
18,601.591,2.89905,4.09477,2.16638,0.00135,0.08242,0.00078,0.00024,3.66027,5.09579,2.6714,0.0018317,0.0018317,0.0018317
19,628.37,2.88273,4.06199,2.1276,0.00107,0.23077,0.00103,0.00033,3.25223,4.33788,2.35684,0.0018218,0.0018218,0.0018218
20,654.949,2.82738,3.97069,2.11979,0.0013,0.53846,0.00168,0.0005,3.1192,4.63962,2.27904,0.0018119,0.0018119,0.0018119
